system:index,CUENCA,FID_CUENCA,HECTARES,SUBCUENCA,VERTIENTE,mean,month,precip_mm,year
23_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,132.5396332719368,12.0,132.5396332719368,2001.0
24_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,69.29145672695222,1.0,69.29145672695222,2002.0
24_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,35.04503968320721,1.0,35.04503968320721,2002.0
24_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,100.85219152553356,1.0,100.85219152553356,2002.0
25_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,70.62315016655724,2.0,70.62315016655724,2002.0
25_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,37.89394420684628,2.0,37.89394420684628,2002.0
25_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,75.76948782304805,2.0,75.76948782304805,2002.0
26_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,50.56688373330402,3.0,50.56688373330402,2002.0
26_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,31.052017442179217,3.0,31.052017442179217,2002.0
26_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,50.286759064788015,3.0,50.286759064788015,2002.0
27_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,20.213753802171915,4.0,20.213753802171915,2002.0
27_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,14.351358409541378,4.0,14.351358409541378,2002.0
27_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,23.010310198004376,4.0,23.010310198004376,2002.0
28_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,188.24338021926505,5.0,188.24338021926505,2002.0
28_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,169.55266142238366,5.0,169.55266142238366,2002.0
28_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,207.62638415467868,5.0,207.62638415467868,2002.0
29_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,302.8576173398518,6.0,302.8576173398518,2002.0
29_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,286.6516284172351,6.0,286.6516284172351,2002.0
29_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,333.9424965890743,6.0,333.9424965890743,2002.0
30_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,389.9842668692351,7.0,389.9842668692351,2002.0
30_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,347.1552029191629,7.0,347.1552029191629,2002.0
30_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,376.5365411539662,7.0,376.5365411539662,2002.0
31_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,229.72096082216797,8.0,229.72096082216797,2002.0
31_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,201.71385251366817,8.0,201.71385251366817,2002.0
31_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,353.3737805993396,8.0,353.3737805993396,2002.0
32_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,341.94709790117224,9.0,341.94709790117224,2002.0
32_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,324.6513568233861,9.0,324.6513568233861,2002.0
32_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,269.20247918282746,9.0,269.20247918282746,2002.0
33_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,211.28982770947343,10.0,211.28982770947343,2002.0
33_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,190.5866054432976,10.0,190.5866054432976,2002.0
33_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,198.74847957851696,10.0,198.74847957851696,2002.0
34_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,123.41962846104732,11.0,123.41962846104732,2002.0
34_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,75.63329511374042,11.0,75.63329511374042,2002.0
34_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,149.11369191278817,11.0,149.11369191278817,2002.0
35_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,69.43877822290872,12.0,69.43877822290872,2002.0
35_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,36.89576346938215,12.0,36.89576346938215,2002.0
35_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,117.84358805557828,12.0,117.84358805557828,2002.0
36_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,92.45056642637248,1.0,92.45056642637248,2003.0
36_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,38.86423303980734,1.0,38.86423303980734,2003.0
